,,,,,Immunization coverage (%) among 1-year-oldsa,,,Antenatal,,Births attended by,,Contraceptive,,Children under-5 using,,TB detection,,TB treatment,,Antiretroviral,,,,,,
,,,WHO,,Measles,DTP3,HepB3,care coverageb,,skilled health personnelb,,prevalence rateb,, insecticide-treated netsc ,,rate under DOTSd,, success under DOTSd,,therapy coveragee,,,,,,
,,Country,region,,,,,(%),year,(%),year,(%),year,(%),year,(%),year,(%),year,(%),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2003,2003,2003,,,,,,,,,,,,, Dec 2004,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Afghanistan,EMR,,50,54,0,52,2003,14,2003,4,2000,...,...,18,2003,87,2002,...,,,,,,
2,,Albania,EUR,,93,97,97,81,2002,99,2000,15,2000,...,...,29,2003,90,2002,60,,,,,,
3,,Algeria,AFR,,84,87,0,79,2000,92,2000,50,2000,...,...,113,2003,89,2002,...,,,,,,
4,,Andorra,EUR,,96,99,84,...,...,...,...,...,...,...,...,116,2003,100,2002,>75,,,,,,
5,,Angola,AFR,,62,46,0,...,...,45,2001,5,2001,2.3,2001,118,2003,74,2002,10,,,,,,
6,,Antigua and Barbuda,AMR,,99,99,99,...,...,100,2000,…,…,...,...,45,2003,100,2002,...,,,,,,
7,,Argentina,AMR,,97,88,0,...,...,99,2001,...,...,...,...,65,2003,58,2002,90,,,,,,
8,,Armenia,EUR,,94,94,93,82,2000,97,2000,22,2000,...,...,43,2003,79,2002,0,,,,,,
9,,Australia,WPR,,93,92,95,...,...,100,1999,…,…,...,...,9,2003,78,2002,>75,,,,,,
10,,Austria,EUR,,79,84,44,...,...,…,…,47,1996,...,...,41,2002,64,2001,>75,,,,,,
11,,Azerbaijan,EUR,,98,97,98,70,2001,84,2000,12,2001,1.4,2000,28,2003,84,2002,0,,,,,,
12,,Bahamas,AMR,,90,92,88,...,...,99,2002,…,…,...,...,52,2003,59,2002,>75,,,,,,
13,,Bahrain,EMR,,100,97,98,63,1995,98,1995,31,1995,...,...,49,2003,88,2002,...,,,,,,
14,,Bangladesh,SEAR,,77,85,0,39,2000,14,2003,44,2000,...,...,33,2003,84,2002,1,,,,,,
15,,Barbados,AMR,,90,86,91,89,2001,91,1999,…,…,...,...,34,2002,...,...,64,,,,,,
16,,Belarus,EUR,,99,86,99,...,...,100,2002,42,1995,...,...,44,2003,...,...,1,,,,,,
17,,Belgium,EUR,,75,90,50,...,...,...,...,…,..,...,...,57,2003,69,2002,>75,,,,,,
18,,Belize,AMR,,96,96,96,...,...,83,1999,…,…,...,...,98,2003,85,2002,39,,,,,,
19,,Benin,AFR,,83,88,81,88,2001,66,2001,7,2001,7.4,2001,94,2003,80,2002,17,,,,,,
20,,Bhutan,SEAR,,88,95,95,...,...,24,2000,…,…,...,...,32,2003,86,2002,...,,,,,,
21,,Bolivia,AMR,,64,81,81,84,2001,65,2002,27,2000,...,...,71,2003,84,2002,19,,,,,,
22,,Bosnia and Herzegovina,EUR,,84,87,0,99,2000,100,2000,16,2000,...,...,48,2003,95,2002,33,,,,,,
23,,Botswana,AFR,,90,97,78,99,2001,94,2000,39,2000,...,...,68,2003,71,2002,50,,,,,,
