,,,,,,,,,,,,,
,,,,,Populationa,,,,Adult,Net primary school,,Gross national,Population living 
,,,WHO,,number,annual growth rate,in urban areas,total fertility rate,literacy rateb,enrolment ratiob,,income per capitac,below poverty lined
,,Country,region,,(000),(%),(%),(per woman),(%),(%),,(current US$),(% with <1 $ a day)
,,,,,,,,,,Boys,Girls,,
,,,,,2005,1995–2004,2005,2000–2004,2005,2001,2001,2003,1990–2002
,,,,,,,,,,,,,
1,,Afghanistan,EMR,, 29 863,3.3,  24,7.5,...,...,...,...,…
2,,Albania,EUR,, 3 130,-0.1,  45,2.3,98.7,…,…, 1 740,<2
3,,Algeria,AFR,, 32 854,1.4,  60,2.5,68.9,96.3,93.7, 1 890,<2
4,,Andorra,EUR,,  67,0.4,  91,...,...,...,...,...,…
5,,Angola,AFR,, 15 941,2.3,  37,6.8,66.9,...,...,  740,…
6,,Antigua and Barbuda,AMR,,  81,1.5,  38,...,...,...,..., 9 160,…
7,,Argentina,AMR,, 38 747,1.0,  91,2.4,97.0,...,..., 3 650,3.3
8,,Armenia,EUR,, 3 016,-0.6,  64,1.3,99.4,84.9,84.2,  950,12.8
9,,Australia,WPR,, 20 155,1.1,  93,1.7,...,95.5,96.4, 21 650,…
10,,Austria,EUR,, 8 189,0.2,  66,1.4,...,89.2,90.6, 26 720,…
11,,Azerbaijan,EUR,, 8 411,0.7,  50,1.9,98.8,80.5,79.1,  810,3.7
12,,Bahamas,AMR,,  323,1.3,  90,2.3,...,85.2,87.6,...,…
13,,Bahrain,EMR,,  727,2.1,  90,2.5,86.5,90.7,91.3,...,…
14,,Bangladesh,SEAR,, 141 822,1.8,  25,3.2,41.1,85.7,87.5,  400,36.0
15,,Barbados,AMR,,  270,0.3,  53,1.5,99.7,99.6,100, 9 270,…
16,,Belarus,EUR,, 9 755,-0.4,  72,1.2,99.7,...,..., 1 590,<2
17,,Belgium,EUR,, 10 419,0.3,  97,1.7,...,100,100, 25 820,…
18,,Belize,AMR,,  270,2.1,  49,3.2,76.9,…,…,...,…
19,,Benin,AFR,, 8 439,2.8,  46,5.9,39.8,...,...,  440,…
20,,Bhutan,SEAR,, 2 163,2.0,  9,4.4,...,...,...,  660,…
21,,Bolivia,AMR,, 9 182,1.9,  64,4.0,86.7,94.0,94.4,  890,14.4
22,,Bosnia and Herzegovina,EUR,, 3 907,1.3,  45,1.3,94.6,...,..., 1 540,…
23,,Botswana,AFR,, 1 765,0.9,  53,3.2,78.9,79.2,82.7, 3 430,23.5
24,,Brazil,AMR,, 186 405,1.3,  84,2.3,88.2,95.7,97.4, 2 710,8.2
25,,Brunei Darussalam,WPR,,  374,2.2,  78,2.5,93.9,...,...,...,…
26,,Bulgaria,EUR,, 7 726,-0.6,  71,1.2,98.6,91.0,89.7, 2 130,4.7
27,,Burkina Faso,AFR,, 13 228,2.7,  19,6.7,12.8,41.0,28.9,  300,44.9
28,,Burundi,AFR,, 7 548,1.7,  11,6.8,58.9,58.8,48.0,  100,58.4
29,,Cambodia,WPR,, 14 071,2.0,  20,4.1,69.4,89.0,83.2,  310,34.1
30,,Cameroon,AFR,, 16 322,1.9,  53,4.6,67.9,...,...,  640,17.1
31,,Canada,AMR,, 32 268,0.9,  81,1.5,...,…,…, 23 930,…
32,,Cape Verde,AFR,,  507,2.1,  58,3.8,75.7,100,98.9, 1 490,…
33,,Central African Republic,AFR,, 4 038,1.6,  44,5.0,48.6,...,...,  260,66.6
34,,Chad,AFR,, 9 749,3.0,  26,6.7,25.5,69.7,46.8,  250,…
35,,Chile,AMR,, 16 295,1.1,  88,2.0,95.7,…,…, 4 390,<2
36,,China,WPR,,1 315 844,0.7,  41,1.7,90.9,94.3,95.0, 1 100,16.6
37,,Colombia,AMR,, 45 600,1.5,  77,2.6,92.1,87.1,86.3, 1 810,8.2
38,,Comoros,AFR,,  798,2.5,  36,4.9,56.2,...,...,  450,…
39,,Congo,AFR,, 3 999,2.9,  54,6.3,82.8,...,...,  640,…
40,,Cook Islands,WPR,,  18,-1.0,  73,...,...,...,...,...,…
41,,Costa Rica,AMR,, 4 327,2.0,  62,2.3,95.8,89.9,91.3, 4 280,2.0
42,,Côte d'Ivoire ,AFR,, 18 154,1.9,  46,5.1,48.1,72.0,53.1,  660,15.5
43,,Croatia,EUR,, 4 551,-0.3,  60,1.3,98.1,89.2,87.8, 5 350,<2
44,,Cuba,AMR,, 11 269,0.3,  76,1.6,96.9,96.2,95.2,...,…
45,,Cyprus,EUR,,  835,1.2,  70,1.6,96.8,95.8,96.1,...,…
46,,Czech Republic,EUR,, 10 220,-0.1,  75,1.2,...,88.5,88.4, 6 740,…
47,,Democratic People's Republic of Korea,SEAR,, 22 488,0.7,  62,2.0,...,...,...,...,…
48,,Democratic Republic of the Congo,AFR,, 57 549,2.2,  33,6.7,65.3,...,...,  100,…
49,,Denmark,EUR,, 5 431,0.4,  86,1.8,...,100,100, 33 750,…
50,,Djibouti,EMR,,  793,2.5,  85,5.1,...,38.3,29.6,  910,…
51,,Dominica,AMR,,  79,0.5,  73,...,...,…,…, 3 360,…
52,,Dominican Republic,AMR,, 8 895,1.3,  60,2.7,87.7,99.1,95.1, 2 070,<2
53,,Ecuador,AMR,, 13 228,1.4,  63,2.8,91.0,99.0,100, 1 790,17.7
54,,Egypt,EMR,, 74 033,1.7,  42,3.3,55.6,92.2,88.3, 1 390,3.1
55,,El Salvador,AMR,, 6 881,1.8,  60,2.9,79.7,89.0,88.9, 2 200,31.1
56,,Equatorial Guinea,AFR,,  504,2.1,  50,5.9,...,91.4,77.8,...,…
57,,Eritrea,AFR,, 4 401,3.2,  21,5.5,...,45.8,39.2,  190,…
58,,Estonia,EUR,, 1 330,-0.8,  70,1.4,99.8,96.4,95.2, 4 960,<2
59,,Ethiopia,AFR,, 77 431,2.3,  16,5.9,41.5,51.5,40.8,  90,26.3
