,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number of ,Adult (15–49),Number of,TB: new smear,Newborns with,Children under-5 ,,Children under-5 ,,Adults (³15) who are,,,,,Mean systolic blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WHO,,adults and children, rate of people ,polio casesb,positive casesc, low birth weightd,stunted for agee,, underweight for agee,,obesef,,,,,among adults (³15)g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,region,, living with HIVa,living with HIV (%)a,,(per 100 000 population),(%),(%),year,(%),year, (%),,,year,,(mmHg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,,Both sexes,,Males,Females,,,,Males,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2003,2003,2004,2003,2000–2002,,,,,,,,,,2002,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Afghanistan,EMR,,…,…,4,150,...,48,1997,49,1997,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Albania,EUR,,…,…,0,10,3,35,2000,14,2000,...,...,,...,,129,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Algeria,AFR,, 9 100,0.1,0,24,7,19,2002,10,2002,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Andorra,EUR,,…,...,0,8,...,...,...,...,...,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Angola,AFR,, 240 000,3.9,0,113,12,45,2001,31,2001,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Antigua and Barbuda,AMR,,…,...,0,3,8,...,...,...,...,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Argentina,AMR,, 130 000,0.7,0,20,7,12,1995–96,5,1995–96,...,...,,...,,120,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Armenia,EUR,, 2 600,0.1,0,32,7,13,2000–01,3,2000–01,...,14.1,,2000–01,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Australia,WPR,, 14 000,0.1,0,3,7,0,1995–96,0,1995–96,14.8,15.3,,2001,"h,i",118,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Austria,EUR,, 10 000,0.3,0,6,7,...,...,...,...,...,...,,...,,129,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Azerbaijan,EUR,, 1 400,<0.1,0,34,11,13,2001,7,2001,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Bahamas,AMR,, 5 600,3.0,0,18,7,...,...,...,...,...,...,,...,,139,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Bahrain,EMR,,<600,0.2,0,20,8,10,1995,9,1995,23.3,34.1,,1998–99,i,125,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Bangladesh,SEAR,,…,…,0,111,30,42,2003,48,2003,...,...,,...,,117,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Barbados,AMR,, 2 500,1.5,0,5,10,…,…,…,…,...,...,,...,,124,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Belarus,EUR,,…,…,0,24,5,...,...,...,...,...,...,,...,,134,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Belgium,EUR,, 10 000,0.2,0,6,8,...,...,...,...,10.3,11.0,,2001,h,127,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Belize,AMR,, 3 600,2.4,0,25,6,…,…,…,…,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Benin,AFR,, 68 000,1.9,6,39,16,31,2001,23,2001,...,6.1,,2001,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Bhutan,SEAR,,…,…,0,50,15,40,1999,19,1999,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Bolivia,AMR,, 4 900,0.1,0,101,9,27,2003–04,8,2003–04,...,15.1,,2003,j,124,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
