,,figures,,,,,,,,,,,
,,,,,Life expectancy,,Healthy life expectancy (HALE),,Probability of dying per 1000 population,,Probability of dying per 1000 live births,,Maternal
,,,WHO,,at birtha,,at birthb,,between 15 and 60 yearsa,,under 5 yearsa,before 28 daysa,mortality ratioa
,,Country,region,,(years),,(years),,(adult mortality rate),,(under–5 mortality rate),(neonatal mortality rate),(per 100 000 live births)
,,,,,Males,Females,Males,Females,Males,Females,Both sexes,Both sexes,
,,,,,2003,2003,2002,2002,2003,2003,2003,2000,2000
,,,,,,,,,,,,,
1,,Afghanistan,EMR,,41,42,35,36,510,448,257,60,1 900
2,,Albania,EUR,,69,75,60,63,167,92,21,12,55
3,,Algeria,AFR,,69,72,60,62,155,125,41,20,140
4,,Andorra,EUR,,78,84,70,75,107,41,5,4,...
5,,Angola,AFR,,38,42,32,35,584,488,260,54,1 700
6,,Antigua and Barbuda,AMR,,70,75,60,64,193,122,12,8,...
7,,Argentina,AMR,,71,78,63,68,176,90,17,10,70
8,,Armenia,EUR,,65,72,59,63,240,108,33,17,55
9,,Australia,WPR,,78,83,71,74,89,51,6,3,6
10,,Austria,EUR,,76,82,69,74,115,59,6,3,5
11,,Azerbaijan,EUR,,62,68,56,59,220,120,91,36,94
12,,Bahamas,AMR,,69,75,61,66,257,146,14,10,60
13,,Bahrain,EMR,,73,75,64,64,117,81,9,11,33
14,,Bangladesh,SEAR,,63,63,55,53,251,258,69,36,380
15,,Barbados,AMR,,71,78,63,68,189,106,13,8,95
16,,Belarus,EUR,,63,75,57,65,370,130,10,5,36
17,,Belgium,EUR,,75,82,69,73,125,66,5,3,10
18,,Belize,AMR,,65,71,58,62,257,153,39,18,140
19,,Benin,AFR,,52,54,43,45,393,332,154,38,850
20,,Bhutan,SEAR,,61,64,53,53,261,202,85,38,420
21,,Bolivia,AMR,,63,67,54,55,247,180,66,27,420
22,,Bosnia and Herzegovina,EUR,,69,76,62,66,190,89,17,11,31
23,,Botswana,AFR,,37,36,36,35,850,839,112,40,100
24,,Brazil,AMR,,66,73,57,62,240,129,35,15,260
25,,Brunei Darussalam,WPR,,75,79,65,66,114,86,6,4,37
26,,Bulgaria,EUR,,69,76,63,67,216,91,15,8,32
27,,Burkina Faso,AFR,,44,46,35,36,533,462,207,36,1 000
28,,Burundi,AFR,,40,45,33,37,654,525,190,41,1 000
29,,Cambodia,WPR,,50,57,46,50,441,285,140,40,450
30,,Cameroon,AFR,,47,48,41,42,503,461,166,40,730
31,,Canada,AMR,,78,82,70,74,93,57,6,4,5
32,,Cape Verde,AFR,,67,73,59,63,213,129,35,10,150
33,,Central African Republic,AFR,,42,43,37,38,641,590,180,48,1 100
34,,Chad,AFR,,44,47,40,42,513,444,200,45,1 100
35,,Chile,AMR,,74,80,65,70,133,66,9,6,30
36,,China,WPR,,70,73,63,65,164,103,37,21,56
37,,Colombia,AMR,,68,77,58,66,231,97,21,14,130
38,,Comoros,AFR,,62,66,54,55,254,182,73,29,480
39,,Congo,AFR,,53,55,45,47,434,381,108,32,510
40,,Cook Islands,WPR,,68,74,61,63,166,112,21,12,...
41,,Costa Rica,AMR,,75,80,65,69,129,76,10,7,25
42,,Côte d'Ivoire ,AFR,,42,49,38,41,558,450,193,65,690
43,,Croatia,EUR,,71,78,64,69,173,70,7,5,10
44,,Cuba,AMR,,75,79,67,70,137,87,7,4,33
45,,Cyprus,EUR,,76,81,67,69,99,47,6,4,47
46,,Czech Republic,EUR,,72,79,66,71,166,74,5,2,9
47,,Democratic People's Republic of Korea,SEAR,,65,68,58,60,231,168,55,22,67
48,,Democratic Republic of the Congo,AFR,,42,47,35,39,578,452,205,47,990
49,,Denmark,EUR,,75,80,69,71,121,73,5,4,7
50,,Djibouti,EMR,,53,56,43,43,376,311,138,38,730
51,,Dominica,AMR,,71,76,62,66,210,118,12,7,...
52,,Dominican Republic,AMR,,65,72,57,62,250,147,35,19,150
53,,Ecuador,AMR,,68,74,60,64,212,127,27,16,130
